participant,cluster,mean_score,std_score,distance_to_center
1: Ziye Tao,0,18.34101748807631,2.2866282931742763,2.6629697926678824
2: Chun Lam U,0,15.752782193958664,2.4210778749848774,3.842724529252467
3: Tomoharu Ushida,2,20.70731707317073,2.311594935996814,2.8876795835072446
4: Ryan Wang,3,17.11764705882353,1.6156404667026198,3.083050254236444
5: Zitong Wang,4,20.693958664546898,2.267427742969349,3.2489686917422778
6: Jan Widlarz,3,18.583023082650783,1.6932743865948765,2.316783315365823
7: Andrzej Wierciński,3,19.045588235294115,2.3850484025178487,3.103325530880108
8: Krzysztof Wierciński,3,18.294117647058822,2.3654995741479468,2.791210171605297
9: Victoria Wong,3,18.372549019607842,1.6282333342766548,2.155919294802031
10: Maiqi Wu,3,18.672794117647058,1.5486147747545982,2.6389116801234422
11: Yifan Wu,1,21.470588235294116,1.7719215226281724,2.4673579057770225
12: Miki Yamagata,2,19.470588235294116,2.6009048199334286,3.5589136825368515
13: Ryota Yamazaki,3,17.529411764705884,2.400980191995124,2.8523857475841408
14: Fanze Yang,4,18.705882352941178,3.03654215108141,3.4555835830743855
15: William Yang,2,20.22473604826546,1.8903308026303671,3.8639272735501087
16: Yuanfan Yang,3,18.41176470588235,1.7341721198244626,2.7370233846241465
17: Yichen Yu,3,18.823529411764707,2.377900705392444,4.10667809985794
18: Yuewen Yu,4,18.705882352941178,2.8888731774333944,3.592646566956726
19: Andrey Zenin,3,17.764705882352942,3.0929236121489057,3.542851510916036
20: Jacky Zhang,1,20.58823529411765,3.063062673400019,3.4124686114807243
21: Yonghuan Zhong,3,17.516176470588235,2.1157323860573114,2.918149168215376
22: Hanyuan Zhu,4,18.752782193958666,2.9686076854739163,3.461680995697857
23: Jingting Zhu,3,18.401206636500753,1.7244171464897082,3.0834521641930297
24: Piotr Alexewicz,1,20.88235294117647,2.5710492250532777,3.276494347143847
25: Jonas Aumiller,2,20.294117647058822,2.391775122224938,3.6860058609728488
26: Yanyan Bao,2,20.0,3.0618621784789726,3.655037777914272
27: Michał Basista,3,17.941176470588236,2.0757705868933987,2.367303810675102
28: Kai-Min Chang,4,19.635135135135133,2.1532438538701006,2.3351936258961854
29: Kevin Chen,1,22.823529411764707,1.9116515803633993,4.03325649215849
30: Xuehong Chen,2,20.41176470588235,1.9058732752144014,2.8659877748192595
31: Zixi Chen,4,20.235294117647058,1.8884322785284717,2.538569791136022
32: Hoi Leong Cheong,4,19.22473604826546,2.607856331536933,2.2438938872281438
33: Diana Cooper,3,18.705882352941178,2.1143765594836976,2.8547368149327497
34: Athena Deng,3,17.988076311605724,2.419107092715382,3.275441705546982
35: Yubo Deng,4,19.57631160572337,2.376904397642661,3.225228525403595
36: Mateusz Dubiel,3,19.058823529411764,1.9193289268418179,2.8836634350655914
37: Yu-Ang Fan,0,17.823529411764707,3.1071549309144344,3.3906426021667957
38: Alberto Ferro,3,18.941176470588236,2.3840770812647323,3.3143304259453497
39: Yang (Jack) Gao,4,20.352941176470587,2.737270001082014,3.358204497996749
40: Shuguang Gong,4,18.84313725490196,2.3007174215002526,2.832084280410885
41: Eric Guo,1,22.58823529411765,2.063335392314219,3.289748952250172
42: Wei-Ting Hsieh,3,18.88235294117647,2.891417319870492,3.942638186269919
43: Xiaoyu Hu,4,19.647058823529413,3.823303160726798,4.674357161485132
44: Hasan Ignatov,3,18.529411764705884,2.2670919439566055,2.8346886759522363
45: Zihan Jin,2,20.529411764705884,1.5048939771136505,2.684852596618002
46: Adam Kałduński,1,20.93596425912137,3.0115958882074256,3.08252787848259
47: David Khrikuli,1,20.294117647058822,2.8009977214010933,4.101931511781983
48: Antoni Kłeczek,3,17.79187589670014,2.3773435304616144,3.392582172325007
49: Kaito Kobayashi,3,18.764705882352942,2.6816369013325114,3.567535488089432
50: Mateusz Krzyżowski,3,18.941176470588236,3.0510364680566773,4.060656544528623
51: Shiori Kuwahara,1,21.705882352941178,2.8009977214010937,3.498568603678189
52: Shushi Kyomasu,4,19.352941176470587,2.1777619380509727,3.2356069531517866
53: Hyo Lee,1,20.966911764705884,1.959317389386656,2.785125606112209
54: Hyuk Lee,1,20.966911764705884,1.9271545429344636,3.2336805842147753
55: Kwanwook Lee,2,19.88235294117647,1.8668942438303942,2.8735891993542393
56: Luwangzi Li,4,19.11764705882353,2.5710492250532773,3.744807184622792
57: Tianyou Li,4,19.764705882352942,2.047236300622924,2.6309849582772302
58: Xiaoxuan Li,1,20.636500754147814,2.717362589408591,3.817500888346931
59: Zhexiang Li,2,19.823529411764707,2.4554860546755064,3.618717459224171
60: Hao-Wei Lin,0,16.941176470588236,3.268611865824966,2.3860288182916314
61: Pedro Lopez Salas,0,15.235294117647058,3.6662210067845384,3.818869489326226
62: Eric Lu,1,21.389282948106477,2.174667913877864,2.1341323112126753
63: Philipp Lynov,1,20.997941176470587,1.7361353083281066,2.4750190078433474
64: Tianyao Lyu,2,21.759493670886076,2.2273715687130786,3.4109508929687267
65: Tiankun Ma,2,19.647058823529413,2.49852897898414,3.9316946204597953
66: Xuanyi Mao,3,18.764705882352942,2.9692046865428856,4.261000448847793
67: Ruben Micieli,2,20.470588235294116,2.321574009665197,3.3151762815356443
68: Nathalia Milstein,1,21.11764705882353,2.642970699354622,3.0345705550637847
69: Yumeka Nakagawa,4,19.823529411764707,2.6037303556063334,3.108070618442607
70: Yulia Nakashima,3,17.529411764705884,1.7719215226281724,2.1419087978141187
71: Viet Trung Nguyen,4,19.23776606092317,2.0159020889765995,3.0182786125416103
72: Yuya Nishimoto,3,18.810294117647057,2.766301948556635,3.7524218348917087
73: Vincent Ong,2,21.529411764705884,3.5727728562494625,4.6395271743423
74: Arisa Onoda,0,17.57631160572337,2.258096286666569,2.832169738439953
75: Piotr Pawlak,1,20.58823529411765,3.6065708007990738,4.716123285769659
76: Yehuda Prokopowicz,1,20.58823529411765,2.5014701559635824,3.0671305775631645
77: Hao Rao,1,21.11764705882353,2.9343302673092304,3.926159348987887
78: Anthony Ratinov,1,20.871794871794872,2.3731804684498163,3.0123410505988337
79: Zuzanna Sejbuk,3,17.764705882352942,2.2508168451893718,2.933709360949985
80: Jun Shimada,4,19.235294117647058,1.8884322785284717,2.3819818331319653
81: Miyu Shindo,1,21.823529411764707,1.8786728732554483,2.6933302757954545
82: Mana Shoji,4,18.994787788533134,2.2055352847223486,2.607388782450067
83: Gabriele Strata,4,19.647058823529413,2.737270001082014,4.146165484645431
84: Eva Strejcova,3,18.176470588235293,2.984026099870087,3.5698891477772383
