Nr,imiÄ™,nazwisko,stage1_score,stage2_score,stage3_score,stage1_weighted,stage2_weighted,stage3_weighted,cumulative_score,rank
62,Eric,Lu,21.82,23.03,23.29,2.182,4.606000000000001,16.302999999999997,23.09,1.0
29,Kevin,Chen,22.93,22.41,22.36,2.293,4.482,15.652,22.43,2.0
5,Zitong,Wang,21.03,20.69,22.8,2.103,4.138000000000001,15.959999999999999,22.2,3.0
57,Tianyou,Li,19.69,21.86,21.98,1.9690000000000003,4.372,15.386,21.73,4.0
51,Shiori,Kuwahara,22.03,21.28,21.36,2.2030000000000003,4.256,14.951999999999998,21.41,5.0
64,Tianyao,Lyu,22.06,20.78,21.43,2.206,4.156000000000001,15.001,21.36,6.0
81,Miyu,Shindo,21.92,20.82,21.06,2.192,4.164000000000001,14.741999999999997,21.1,7.0
15,William,Yang,20.22,22.38,20.69,2.022,4.476,14.483,20.98,8.0
47,David,Khrikuli,20.52,21.35,20.77,2.052,4.2700000000000005,14.538999999999998,20.86,9.0
24,Piotr,Alexewicz,21.02,21.08,20.74,2.102,4.216,14.517999999999997,20.84,10.0
73,Vincent,Ong,22.07,21.23,20.55,2.2070000000000003,4.246,14.385,20.84,10.0
53,Hyo,Lee,21.13,20.79,20.79,2.113,4.158,14.552999999999999,20.82,12.0
3,Tomoharu,Ushida,20.81,21.08,20.58,2.081,4.216,14.405999999999997,20.7,13.0
54,Hyuk,Lee,21.13,20.79,20.03,2.113,4.158,14.020999999999999,20.29,14.0
39,Yang (Jack),Gao,20.51,21.18,19.88,2.051,4.236,13.915999999999999,20.2,15.0
11,Yifan,Wu,21.47,20.32,19.8,2.147,4.064,13.86,20.07,16.0
58,Xiaoxuan,Li,20.88,20.3,19.85,2.088,4.0600000000000005,13.895,20.04,17.0
41,Eric,Guo,22.78,20.32,19.54,2.278,4.064,13.677999999999999,20.02,18.0
76,Yehuda,Prokopowicz,20.73,20.36,19.49,2.073,4.072,13.642999999999999,19.79,19.0
75,Piotr,Pawlak,20.92,20.59,19.31,2.092,4.118,13.516999999999998,19.73,20.0
